type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2024-09-25 14:00:00,2024-09-25 14:00:00,Payment for goods,100.00,0.00,GBP,COMPLETED,100.00
CASH_WITHDRAWAL,ATM,2024-09-24 12:30:00,2024-09-24 12:30:00,Cash withdrawal from ATM,200.00,2.50,USD,COMPLETED,197.50
CARD_PAYMENT,Savings,2024-09-21 16:15:00,2024-09-21 16:15:00,Utility bill payment,120.00,0.00,GBP,COMPLETED,120.00
BANK_TRANSFER,Current,2024-09-18 11:00:00,2024-09-18 11:00:00,Transfer to savings account,500.00,0.00,EUR,COMPLETED,500.00
CASH_DEPOSIT,Branch,2024-09-22 10:00:00,2024-09-22 10:00:00,Cash deposit at branch,300.00,0.00,USD,COMPLETED,300.00
CARD_PAYMENT,Current,2024-09-20 09:45:00,2024-09-20 09:45:00,Online purchase,75.00,0.00,GBP,COMPLETED,75.00
BANK_TRANSFER,Savings,2024-09-27 15:20:00,2024-09-27 15:20:00,Transfer to investment account,1000.00,0.00,EUR,COMPLETED,1000.00
CASH_WITHDRAWAL,ATM,2024-09-23 14:10:00,2024-09-23 14:10:00,Cash withdrawal from ATM,150.00,1.50,USD,COMPLETED,148.50
CARD_PAYMENT,Current,2024-09-19 13:25:00,2024-09-19 13:25:00,Payment for electronics,350.00,0.00,GBP,COMPLETED,350.00
CASH_DEPOSIT,Branch,2024-09-26 11:30:00,2024-09-26 11:30:00,Cash deposit at branch,500.00,0.00,USD,COMPLETED,500.00
BANK_TRANSFER,Savings,2024-09-28 09:00:00,2024-09-28 09:00:00,Transfer to personal account,250.00,0.00,GBP,COMPLETED,250.00
CARD_PAYMENT,Savings,2024-09-17 17:30:00,2024-09-17 17:30:00,Payment for fuel,40.00,0.00,EUR,COMPLETED,40.00
CASH_WITHDRAWAL,ATM,2024-09-16 10:20:00,2024-09-16 10:20:00,Cash withdrawal from ATM,100.00,1.00,USD,COMPLETED,99.00
BANK_TRANSFER,Current,2024-09-18 14:50:00,2024-09-18 14:50:00,Transfer to mortgage account,600.00,0.00,GBP,COMPLETED,600.00
CARD_PAYMENT,Current,2024-09-29 16:00:00,2024-09-29 16:00:00,Restaurant payment,80.00,0.00,GBP,COMPLETED,80.00
